"NBN Atlas record ID","Occurrence ID","Licence","Rightsholder","Scientific name","Common name","Species ID (TVK)","Taxon Rank","Occurrence status","Start date","Start date day","Start date month","Start date year","End date","End day","End month","End year","Locality","OSGR","Latitude (WGS84)","Longitude (WGS84)","Coordinate uncertainty (m)","Verbatim depth","Recorder","Determiner","Individual count","Abundance","Abundance scale","Organism scope","Organism remarks","Sex","Life stage","Occurrence remarks","Identification verification status","Basis of record","Survey key","Dataset name","Dataset ID","Data provider","Data provider ID","Institution code","Kingdom","Phylum","Class","Order","Family","Genus","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province"
"ffe050c7-a762-43e3-ae4c-41efd025a8bc","647496","CC-BY","Shropshire Ecological Data Network","Bryum pseudotriquetrum","Marsh Bryum","NHMSYS0000309510","species","present","1977-08-01","01","08","1977","","","","","Ashes Hollow","SO4293","52.53631","-2.84916","1000.0","","Anon.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae","Bryum","SO","SO49","SO49G","SO4293","United Kingdom","England"
"ffdf72b6-65bb-47d0-b7e2-91c6ffe1a4c4","861251","CC-BY","Shropshire Ecological Data Network","Silene gallica","Small-Flowered Catchfly","NBNSYS0000002991","species","present","2009-08-02","02","08","2009","","","","","Cabin Gutter","SO221835","52.44435","-3.14679","100.0","","Button, Mr N.","Whild, Dr S.J.","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Silene","SO","SO28","SO28G","SO2283","United Kingdom","England"
"ffdcd62f-727a-40c8-9355-95c17c4bc4ff","251358","CC-BY","Shropshire Ecological Data Network","Prunus cerasus","Dwarf Cherry","NBNSYS0000003418","species","present","1996-08-18","18","08","1996","","","","","Shotton","SJ4921","52.7887","-2.75027","1000.0","","Thompson, Mr J.A.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","SJ","SJ42","SJ42V","SJ4921","United Kingdom","England"
"ffdc909e-9021-49ce-bc60-c53dcc1fd911","666267","CC-BY","Shropshire Ecological Data Network","Berula erecta","Lesser Water-Parsnip","NHMSYS0000456451","species","present","2009-08-03","03","08","2009","","","","","River Roden west of Tilley","SJ50012799","52.84713","-2.74363","10.0","","Lockton, Mr A.J.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Berula","SJ","SJ52","SJ52D","SJ5027","United Kingdom","England"
"ffdc7383-d5ab-4b58-9189-7d285f485e2f","417190","CC-BY","Shropshire Ecological Data Network","Hypochaeris radicata","Cat's-Ear","NBNSYS0000004518","species","present","2012-08-01","01","08","2012","","","","","Ryton","SJ4903","52.6269","-2.74749","1000.0","","Thorne, Dr A.K.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hypochaeris","SJ","SJ40","SJ40W","SJ4903","United Kingdom","England"
"ffdb9de9-6ebb-4b9e-81d6-82d80d59e666","350138","CC-BY","Shropshire Ecological Data Network","Ballota nigra","Black Horehound","NBNSYS0000004238","species","present","1864-08-26","26","08","1864","","","","","Shrawardine","SJ3915","52.73374","-2.89742","1000.0","","Lloyd, Miss C.E.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Ballota","SJ","SJ31","SJ31X","SJ3915","United Kingdom","England"
"ffd4961c-8664-4191-9233-b76e7d1d75e7","376126","CC-BY","Shropshire Ecological Data Network","Galium aparine","Cleavers","NBNSYS0000004319","species","present","2008-08-27","27","08","2008","","","","","Wrentnall","SJ4203","52.6262","-2.8509","1000.0","","Duffell, Mr M.S.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Galium","SJ","SJ40","SJ40G","SJ4203","United Kingdom","England"
"ffd26cde-f93b-45a3-8cdb-fda0f57109df","610084","CC-BY","Shropshire Ecological Data Network","Phleum pratense","Timothy Grass","NHMSYS0000461024","species","present","2004-08-01","01","08","2004","","","","","Shropshire","SJ43C","52.90917","-2.87874","2.0","","Thorne, Dr A.K.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Phleum","SJ","SJ43","SJ43C","","United Kingdom","England"
"ffd21935-2af4-464a-b278-63aa0c6bcccb","544061355","CC-BY","","Sphagnum cuspidatum","Feathery Bog-moss","NBNSYS0000036095","species","present","","","08","1892","","","08","1892","Wilderley Hill","SJ4100","52.59913","-2.86514","1000.0","","Benson, R. de G.","","","","","","","","","Sphagnum cuspidatum Ehrh.","Accepted","HumanObservation","417","Bryophyte data for Great Britain from the British Bryological Society held by BRC: Atlas 2014","dr859","British Bryological Society","dp74","British Bryological Society","Plantae","Bryophyta","Sphagnopsida","Sphagnales","Sphagnaceae","Sphagnum","SJ","SJ40","SJ40A","SJ4100","United Kingdom","England"
"ffd1cd39-6010-4cff-a683-de1264f8c898","379951","CC-BY","Shropshire Ecological Data Network","Valeriana officinalis","Common Valerian","NBNSYS0000004343","species","present","1979-08-06","06","08","1979","","","","","Gatten","SO3898","52.58082","-2.90905","1000.0","","Warren, Mrs J.A.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Valeriana","SO","SO39","SO39Z","SO3898","United Kingdom","England"
